,Unnamed: 0,date,means
0,0,2018-01-07,13.049999999999999
1,1,2018-01-14,0.0
2,2,2018-01-21,0.0
3,3,2018-01-28,13.34
4,4,2018-02-04,0.0
5,5,2018-02-11,13.34
6,6,2018-02-18,20.009999999999998
7,7,2018-02-25,19.72
8,8,2018-03-04,13.049999999999999
9,9,2018-03-11,13.049999999999999
10,10,2018-03-18,13.34
11,11,2018-03-25,0.0
12,12,2018-04-01,0.0
13,13,2018-04-08,13.049999999999999
14,14,2018-04-15,13.629999999999999
15,15,2018-04-22,0.0
16,16,2018-04-29,13.34
17,17,2018-05-06,0.0
18,18,2018-05-13,0.0
19,19,2018-05-20,0.0
20,20,2018-05-27,13.049999999999999
21,21,2018-06-03,13.34
22,22,2018-06-10,12.76
23,23,2018-06-17,0.0
24,24,2018-06-24,0.0
25,25,2018-07-01,0.0
26,26,2018-07-08,15.95
27,27,2018-07-15,15.659999999999998
28,28,2018-07-22,0.0
29,29,2018-07-29,15.079999999999998
30,30,2018-08-05,28.999999999999996
31,31,2018-08-12,0.0
32,32,2018-08-19,14.79
33,33,2018-08-26,14.209999999999999
34,34,2018-09-02,13.34
35,35,2018-09-09,13.34
36,36,2018-09-16,0.0
37,37,2018-09-23,26.68
38,38,2018-09-30,0.0
39,39,2018-10-07,0.0
40,40,2018-10-14,0.0
41,41,2018-10-21,13.34
42,42,2018-10-28,0.0
43,43,2018-11-04,0.0
44,44,2018-11-11,0.0
45,45,2018-11-18,0.0
46,46,2018-11-25,0.0
47,47,2018-12-02,0.0
48,48,2018-12-09,0.0
49,49,2018-12-16,0.0
50,50,2018-12-23,15.659999999999998
51,51,2018-12-30,15.079999999999998
52,52,2019-01-06,0.0
53,53,2019-01-13,0.0
54,54,2019-01-20,11.6
55,55,2019-01-27,0.0
56,56,2019-02-03,12.76
57,57,2019-02-10,12.76
58,58,2019-02-17,0.0
59,59,2019-02-24,0.0
60,60,2019-03-03,0.0
61,61,2019-03-10,0.0
62,62,2019-03-17,13.049999999999999
63,63,2019-03-24,0.0
64,64,2019-03-31,18.56
65,65,2019-04-07,0.0
66,66,2019-04-14,13.629999999999999
67,67,2019-04-21,0.0
68,68,2019-04-28,0.0
69,69,2019-05-05,0.0
70,70,2019-05-12,0.0
71,71,2019-05-19,0.0
72,72,2019-05-26,0.0
73,73,2019-06-02,0.0
74,74,2019-06-09,12.469999999999999
75,75,2019-06-16,0.0
76,76,2019-06-23,0.0
77,77,2019-06-30,0.0
78,78,2019-07-07,14.499999999999998
79,79,2019-07-14,0.0
80,80,2019-07-21,14.499999999999998
81,81,2019-07-28,0.0
82,82,2019-08-04,0.0
83,83,2019-08-11,14.209999999999999
84,84,2019-08-18,13.629999999999999
85,85,2019-08-25,12.76
86,86,2019-09-01,12.469999999999999
87,87,2019-09-08,12.469999999999999
88,88,2019-09-15,0.0
89,89,2019-09-22,0.0
90,90,2019-09-29,11.889999999999999
91,91,2019-10-06,11.889999999999999
92,92,2019-10-13,11.309999999999999
93,93,2019-10-20,0.0
94,94,2019-10-27,11.02
95,95,2019-11-03,0.0
96,96,2019-11-10,10.729999999999999
97,97,2019-11-17,10.729999999999999
98,98,2019-11-24,11.02
99,99,2019-12-01,0.0
100,100,2019-12-08,11.02
101,101,2019-12-15,15.079999999999998
102,102,2019-12-22,0.0
103,103,2019-12-29,12.18
104,104,2020-01-05,11.309999999999999
105,105,2020-01-12,10.149999999999999
106,106,2020-01-19,20.299999999999997
107,107,2020-01-26,0.0
108,108,2020-02-02,10.44
109,109,2020-02-09,10.729999999999999
110,110,2020-02-16,15.95
111,111,2020-02-23,10.44
112,112,2020-03-01,0.0
113,113,2020-03-08,0.0
114,114,2020-03-15,0.0
115,115,2020-03-22,27.839999999999996
116,116,2020-03-29,8.41
117,117,2020-04-05,8.7
118,118,2020-04-12,8.99
119,119,2020-04-19,8.41
120,120,2020-04-26,17.11
121,121,2020-05-03,0.0
122,122,2020-05-10,0.0
123,123,2020-05-17,10.729999999999999
