Year,ticket_geo_region_name,Food_type,Distribution
2018,Baden-Württemberg,Hochzeit Buffet,0.16
2018,Baden-Württemberg,Hochzeit Bar,0.39
2018,Baden-Württemberg,Hochzeit Essen,0.45
2018,Bayern,Hochzeit Buffet,0.0
2018,Bayern,Hochzeit Bar,0.48
2018,Bayern,Hochzeit Essen,0.52
2018,Berlin,Hochzeit Buffet,0.0
2018,Berlin,Hochzeit Bar,0.0
2018,Berlin,Hochzeit Essen,1.0
2018,Brandenburg,Hochzeit Buffet,0.0
2018,Brandenburg,Hochzeit Bar,0.0
2018,Brandenburg,Hochzeit Essen,0.0
2018,Bremen,Hochzeit Buffet,0.0
2018,Bremen,Hochzeit Bar,0.0
2018,Bremen,Hochzeit Essen,0.0
2018,Deutschland,Hochzeit Buffet,0.12
2018,Deutschland,Hochzeit Bar,0.26
2018,Deutschland,Hochzeit Essen,0.62
2018,Hamburg,Hochzeit Buffet,0.0
2018,Hamburg,Hochzeit Bar,0.0
2018,Hamburg,Hochzeit Essen,0.0
2018,Hessen,Hochzeit Buffet,0.0
2018,Hessen,Hochzeit Bar,0.51
2018,Hessen,Hochzeit Essen,0.49
2018,Niedersachsen,Hochzeit Buffet,0.0
2018,Niedersachsen,Hochzeit Bar,0.5
2018,Niedersachsen,Hochzeit Essen,0.5
2018,Mecklenburg-Vorpommern,Hochzeit Buffet,0.0
2018,Mecklenburg-Vorpommern,Hochzeit Bar,0.0
2018,Mecklenburg-Vorpommern,Hochzeit Essen,0.0
2018,Nordrhein-Westfalen,Hochzeit Buffet,0.18
2018,Nordrhein-Westfalen,Hochzeit Bar,0.24
2018,Nordrhein-Westfalen,Hochzeit Essen,0.58
2018,Rheinland-Pfalz,Hochzeit Buffet,0.0
2018,Rheinland-Pfalz,Hochzeit Bar,0.0
2018,Rheinland-Pfalz,Hochzeit Essen,1.0
2018,Saarland,Hochzeit Buffet,0.0
2018,Saarland,Hochzeit Bar,0.0
2018,Saarland,Hochzeit Essen,0.0
2018,Sachsen,Hochzeit Buffet,0.0
2018,Sachsen,Hochzeit Bar,0.0
2018,Sachsen,Hochzeit Essen,0.0
2018,Sachsen-Anhalt,Hochzeit Buffet,0.0
2018,Sachsen-Anhalt,Hochzeit Bar,0.0
2018,Sachsen-Anhalt,Hochzeit Essen,0.0
2018,Schleswig-Holstein,Hochzeit Buffet,0.0
2018,Schleswig-Holstein,Hochzeit Bar,0.0
2018,Schleswig-Holstein,Hochzeit Essen,0.0
2018,Thüringen,Hochzeit Buffet,0.0
2018,Thüringen,Hochzeit Bar,0.0
2018,Thüringen,Hochzeit Essen,0.0
2019,Baden-Württemberg,Hochzeit Buffet,0.14
2019,Baden-Württemberg,Hochzeit Bar,0.36
2019,Baden-Württemberg,Hochzeit Essen,0.49
2019,Bayern,Hochzeit Buffet,0.0
2019,Bayern,Hochzeit Bar,0.41
2019,Bayern,Hochzeit Essen,0.59
2019,Berlin,Hochzeit Buffet,0.0
2019,Berlin,Hochzeit Bar,0.0
2019,Berlin,Hochzeit Essen,1.0
2019,Brandenburg,Hochzeit Buffet,0.0
2019,Brandenburg,Hochzeit Bar,0.0
2019,Brandenburg,Hochzeit Essen,0.0
2019,Bremen,Hochzeit Buffet,0.0
2019,Bremen,Hochzeit Bar,0.0
2019,Bremen,Hochzeit Essen,0.0
2019,Deutschland,Hochzeit Buffet,0.16
2019,Deutschland,Hochzeit Bar,0.31
2019,Deutschland,Hochzeit Essen,0.53
2019,Hamburg,Hochzeit Buffet,0.0
2019,Hamburg,Hochzeit Bar,0.0
2019,Hamburg,Hochzeit Essen,0.0
2019,Hessen,Hochzeit Buffet,0.0
2019,Hessen,Hochzeit Bar,0.52
2019,Hessen,Hochzeit Essen,0.48
2019,Niedersachsen,Hochzeit Buffet,0.0
2019,Niedersachsen,Hochzeit Bar,0.6
2019,Niedersachsen,Hochzeit Essen,0.4
2019,Mecklenburg-Vorpommern,Hochzeit Buffet,0.0
2019,Mecklenburg-Vorpommern,Hochzeit Bar,0.0
2019,Mecklenburg-Vorpommern,Hochzeit Essen,0.0
2019,Nordrhein-Westfalen,Hochzeit Buffet,0.14
2019,Nordrhein-Westfalen,Hochzeit Bar,0.22
2019,Nordrhein-Westfalen,Hochzeit Essen,0.64
2019,Rheinland-Pfalz,Hochzeit Buffet,0.0
2019,Rheinland-Pfalz,Hochzeit Bar,0.0
2019,Rheinland-Pfalz,Hochzeit Essen,1.0
2019,Saarland,Hochzeit Buffet,0.0
2019,Saarland,Hochzeit Bar,0.0
2019,Saarland,Hochzeit Essen,0.0
2019,Sachsen,Hochzeit Buffet,0.0
2019,Sachsen,Hochzeit Bar,0.0
2019,Sachsen,Hochzeit Essen,0.0
2019,Sachsen-Anhalt,Hochzeit Buffet,0.0
2019,Sachsen-Anhalt,Hochzeit Bar,0.0
2019,Sachsen-Anhalt,Hochzeit Essen,0.0
2019,Schleswig-Holstein,Hochzeit Buffet,0.0
2019,Schleswig-Holstein,Hochzeit Bar,0.0
2019,Schleswig-Holstein,Hochzeit Essen,0.0
2019,Thüringen,Hochzeit Buffet,0.0
2019,Thüringen,Hochzeit Bar,0.0
2019,Thüringen,Hochzeit Essen,0.0
